235,101,12,17
235,103,11,13
234,93,18,22
233,97,16,18
233,99,12,17
233,102,13,14
232,101,12,17
231,100,14,15
231,100,15,18
232,102,14,15
232,99,14,20
231,101,14,17
231,103,16,16
230,102,15,17
229,104,15,16
228,102,16,18
230,104,14,16
228,105,15,15
229,106,14,14
228,106,15,16
228,106,14,15
228,107,15,14
228,108,15,15
228,107,15,17
228,105,15,19
228,108,15,17
227,106,17,19
227,108,14,18
226,109,15,17
226,108,16,19
226,106,15,20
225,106,19,20
225,109,14,17
224,109,15,19
224,111,14,17
225,111,13,17
223,110,14,19
224,111,13,17
223,111,15,17
223,110,15,19
222,111,16,19
223,114,14,15
222,113,14,15
222,114,15,16
222,114,14,16
222,113,15,17
222,116,12,15
220,115,14,17
220,114,16,18
220,115,17,18
220,117,15,16
219,117,17,17
220,117,15,17
220,118,13,16
219,116,16,19
217,117,15,19
218,119,13,16
218,116,15,19
218,119,13,16
218,120,14,16
217,120,12,16
217,120,13,16
216,121,13,16
217,120,12,17
217,120,14,17
217,118,16,18
216,119,15,17
216,119,16,19
216,119,16,20
215,116,19,23
215,123,14,17
214,123,15,16
215,123,14,16
214,124,15,15
214,124,14,16
214,124,15,17
213,124,16,17
213,124,16,16
213,125,16,18
213,126,14,17
212,125,15,19
211,128,15,15
211,127,15,16
210,126,18,17
211,128,14,16
210,126,15,19
208,128,15,17
209,127,16,19
209,129,12,17
209,130,13,16
208,130,13,17
207,130,14,17
207,131,14,17
207,132,14,15
206,131,15,17
206,131,15,17
206,132,15,17
205,133,14,16
206,132,14,18
205,134,14,17
204,132,14,18
204,133,17,18
204,134,15,17
203,136,12,16
203,134,13,18
203,136,14,16
202,135,16,17
203,138,13,14
202,136,14,17
203,136,13,17
202,136,15,19
200,135,17,19
200,136,18,19
201,136,15,19
200,135,15,21
200,138,16,17
199,138,16,18
199,141,14,15
199,140,16,16
199,139,13,18
200,141,16,17
200,142,14,17
198,141,15,19
198,141,13,19
197,143,15,16
197,143,14,17
196,144,13,17
197,144,15,16
197,145,13,17
195,144,16,19
195,144,15,18
195,146,14,17
194,145,16,20
195,146,16,18
194,147,15,18
193,147,15,18
192,148,18,16
192,148,14,18
191,148,15,18
191,149,15,16
191,148,15,17
191,151,13,15
191,149,14,17
190,151,14,16
189,151,15,16
189,148,16,20
189,154,13,14
189,152,13,16
189,152,16,17
189,153,13,15
189,152,15,17
189,152,14,17
188,153,14,17
188,155,15,18
188,157,14,16
187,155,17,19
189,160,14,16
189,160,16,16
189,159,15,18
188,159,16,18
189,159,13,18
187,161,17,16
187,161,17,17
187,161,15,17
186,161,15,17
186,162,16,15
186,160,17,19
185,163,16,16
185,164,16,16
185,164,13,16
184,166,14,16
184,165,16,18
183,167,13,16
183,167,13,18
182,166,16,18
182,167,14,18
182,168,14,17
181,170,13,16
180,170,15,16
180,170,15,17
180,171,14,15
180,171,15,17
180,171,16,17
180,173,14,17
180,172,15,18
180,173,14,18
181,173,12,18
178,173,16,18
180,174,14,17
179,174,15,18
178,175,13,17
178,176,14,16
177,176,14,16
177,176,13,17
177,177,11,16
177,177,11,16
176,176,13,17
176,176,12,19
175,178,14,17
176,180,13,17
176,182,12,15
176,181,13,16
175,181,14,16
174,181,16,16
175,182,13,16
174,182,12,16
174,182,13,17
175,183,14,16
175,184,13,15
174,183,13,17
174,183,14,17
174,185,14,16
173,185,14,17
172,187,12,14
172,185,14,17
173,185,14,17
172,186,15,17
171,186,14,17
172,187,12,16
172,187,14,16
171,189,14,15
171,188,15,17
170,189,16,17
171,188,14,18
169,191,12,17
169,190,17,18
168,192,15,17
168,192,15,17
168,192,14,17
168,193,13,17
168,194,12,15
169,193,12,16
168,191,17,20
168,189,18,21
167,187,18,23
168,192,15,18
167,192,16,19
166,191,17,21
166,193,19,19
167,193,16,18
166,194,13,17
166,195,17,18
165,193,17,20
165,194,16,19
165,194,17,20
166,196,15,17
165,195,16,20
165,194,15,21
165,197,14,17
164,193,17,21
164,194,16,20
164,195,14,19
163,194,16,21
163,195,14,20
163,195,14,21
164,196,12,19
162,197,14,18
162,197,15,19
162,199,13,17
160,196,15,20
161,197,17,19
160,199,15,18
160,199,17,18
160,198,18,19
160,200,16,19
159,200,16,19
160,201,17,20
161,202,16,18
161,202,16,19
161,201,19,20
162,203,16,18
161,201,17,22
161,203,17,19
161,202,17,20
159,204,19,19
158,201,21,22
159,201,20,23
159,201,19,22
160,203,19,20
159,204,19,20
158,207,16,18
157,205,20,19
157,207,18,17
157,208,16,17
156,206,17,19
157,209,15,16
156,207,17,19
156,206,16,21
154,207,15,21
155,209,16,19
152,210,17,20
153,211,14,19
153,211,13,19
153,211,16,20
152,207,19,24
152,210,17,22
152,210,18,22
153,210,18,22
152,211,15,21
150,215,14,17
