1,1,235,101,12,17,1,-1,-1,-1
2,1,235,103,11,13,1,-1,-1,-1
3,1,234,93,18,22,1,-1,-1,-1
4,1,233,97,16,18,1,-1,-1,-1
5,1,233,99,12,17,1,-1,-1,-1
6,1,233,102,13,14,1,-1,-1,-1
7,1,232,101,12,17,1,-1,-1,-1
8,1,231,100,14,15,1,-1,-1,-1
9,1,231,100,15,18,1,-1,-1,-1
10,1,232,102,14,15,1,-1,-1,-1
11,1,232,99,14,20,1,-1,-1,-1
12,1,231,101,14,17,1,-1,-1,-1
13,1,231,103,16,16,1,-1,-1,-1
14,1,230,102,15,17,1,-1,-1,-1
15,1,229,104,15,16,1,-1,-1,-1
16,1,228,102,16,18,1,-1,-1,-1
17,1,230,104,14,16,1,-1,-1,-1
18,1,228,105,15,15,1,-1,-1,-1
19,1,229,106,14,14,1,-1,-1,-1
20,1,228,106,15,16,1,-1,-1,-1
21,1,228,106,14,15,1,-1,-1,-1
22,1,228,107,15,14,1,-1,-1,-1
23,1,228,108,15,15,1,-1,-1,-1
24,1,228,107,15,17,1,-1,-1,-1
25,1,228,105,15,19,1,-1,-1,-1
26,1,228,108,15,17,1,-1,-1,-1
27,1,227,106,17,19,1,-1,-1,-1
28,1,227,108,14,18,1,-1,-1,-1
29,1,226,109,15,17,1,-1,-1,-1
30,1,226,108,16,19,1,-1,-1,-1
31,1,226,106,15,20,1,-1,-1,-1
32,1,225,106,19,20,1,-1,-1,-1
33,1,225,109,14,17,1,-1,-1,-1
34,1,224,109,15,19,1,-1,-1,-1
35,1,224,111,14,17,1,-1,-1,-1
36,1,225,111,13,17,1,-1,-1,-1
37,1,223,110,14,19,1,-1,-1,-1
38,1,224,111,13,17,1,-1,-1,-1
39,1,223,111,15,17,1,-1,-1,-1
40,1,223,110,15,19,1,-1,-1,-1
41,1,222,111,16,19,1,-1,-1,-1
42,1,223,114,14,15,1,-1,-1,-1
43,1,222,113,14,15,1,-1,-1,-1
44,1,222,114,15,16,1,-1,-1,-1
45,1,222,114,14,16,1,-1,-1,-1
46,1,222,113,15,17,1,-1,-1,-1
47,1,222,116,12,15,1,-1,-1,-1
48,1,220,115,14,17,1,-1,-1,-1
49,1,220,114,16,18,1,-1,-1,-1
